key	value
STR_PLAYERLOG_TYPE_FACTIONSPORTS	Thi đấu môn phái
STR_PLAYERLOG_TYPE_CREATEFAMILY	Xây dựng gia tộc
STR_PLAYERLOG_TYPE_FAMILYAPPOINT	Bổ nhiệm gia tộc
STR_PLAYERLOG_TYPE_FAMILYDISMISS	Giải tán gia tộc
STR_PLAYERLOG_TYPE_CREATETONG	Xây dựng bang hội
STR_PLAYERLOG_TYPE_TONGAPPOINT	Bổ nhiệm bang hội
STR_PLAYERLOG_TYPE_TONGDISMISS	Giải tán bang hội
STR_PLAYERLOG_TYPE_TONGCONTRIBUTE	Góp vào quỹ xây dựng bang
STR_PLAYERLOG_TYPE_TONGPAYOFF	Thao tác quỹ bang hội
STR_PLAYERLOG_TYPE_JBEXCHANGE	Giao dịch tiền đồng
STR_PLAYERLOG_TYPE_USEGOLDCOIN_APP	Xin tiêu hao tiền đồng
STR_PLAYERLOG_TYPE_USEGOLDCOIN_RES	Kết quả tiêu hao tiền đồng
STR_PLAYERLOG_TYPE_FINISHTASK	Hoàn thành nhiệm vụ
STR_PLAYERLOG_TYPE_JOINSPORT	Tham gia hoạt động
STR_PLAYERLOG_TYPE_LEVELUP	Thăng cấp người chơi
STR_PLAYERLOG_TYPE_PLAYERTRADE	Giao dịch người chơi
STR_PLAYERLOG_TYPE_STALLSELL	Lập quầy bán hàng
STR_PLAYERLOG_TYPE_STALLBUY	Lập quầy thu mua
STR_PLAYERLOG_TYPE_LOGIN	Người chơi đăng nhập
STR_PLAYERLOG_TYPE_LOGOUT	Người chơi thoát ra
STR_PLAYERLOG_TYPE_MAILATTACH	Đính kèm theo thư
STR_PLAYERLOG_TYPE_GETFRIENDCOINBACK	Hoàn trả đồng khóa mật hữu
STR_PLAYERLOG_TYPE_AUCTION	Đấu giá
STR_PLAYERLOG_TYPE_PROMTION	Hoạt động khuyến mãi tiêu phí đồng nhận đồng khóa
STR_PLAYERLOG_TYPE_COINBANK	Thao tác tiền trang
STR_PLAYERLOG_TYPE_COINSTATE	Hành vi tiền đồng
STR_PLAYERLOG_TYPE_BINDCOIN	Đồng khóa
STR_PLAYERLOG_TYPE_RELATION	Quan hệ
STR_PLAYERLOG_TYPE_COMPENSATE	Liên quan bồi thường
STR_PLAYERLOG_TYPE_GM_OPERATION	Thao tác GM
STR_PLAYERLOG_TYPE_ANTIBOT_SCORE	Điểm chống auto
