QID	Use	Kind	Question	Answer	Select1	Setect2
1	0	K? n?ng chi那n ??u	T芍c d?ng c?a r??u l角 g足 ?	T?ng kinh nghi?m l?a tr?i	T?ng kinh nghi?m gi?t qu芍i	T?ng ?? than m?t h?o h?u
2	0	K? n?ng chi那n ??u	T芍c d?ng c?a r??u c車 th? k谷o d角i bao lau?	3 ph迆t	1 ph迆t	5 ph迆t
3	0	K? n?ng chi那n ??u	T? h?p ph赤m ?? m? t? ??ng ?芍nh?	Ctrl+F	Ctrl+C	Ctrl+A
4	0	K? n?ng chi那n ??u	K? n?ng n? kh赤 d迄ng khi n角o? 	Khi ?芍nh quo芍i	D迄ng khi PK	L迆c n角o c?ng s? d?ng ???c
5	0	Ch?a th??ng	Mua C?u chuy?n t?c m?nh ho角n ? ?au?	K? tran c芍c	D??c ?i?m	T?p h車a
6	0	Ch?a th??ng	C車 th? d迄ng C?u chuy?n t?c m?nh ho角n ? ?au?	Map luy?n c?ng	T?ng Kim	Thi ??u lo?n ph芍i
7	0	Ch?a th??ng	Gi芍 b芍n c?a  C?u chuy?n t?c m?nh ho角n l角 bao nhi那u? 	100 ??ng Kh車a	40 ??ng Kh車a	50 ??ng Kh車a
8	0	Ch?a th??ng	 C?u chuy?n t?c m?nh ho角n c車 s? d?ng ???c trong tr?ng th芍i Tranh ?o?t L?nh Th? kh?ng ?	Kh?ng	C車	Kh?ng bi?t
9	0	H足nh th?c chi?n ??u	C車 th? s? d?ng quan h? t? th赤 ? ?au?	Map luy?n c?ng	Thi ??u lo?n ph芍i	Tan Th? Th?n
10	0	H足nh th?c chi?n ??u	Tr?ng th芍i PK n角o khi gi?t ng??i ch?i kh芍c c車 th? t?ng tr? s? PK ?	?? s芍t	Bang h?i	Luy?n C?ng
11	0	H足nh th?c chi?n ??u	Tr?ng th芍i PK trong T?ng Kim c?a ng??i ch?i l角 g足 ?	Phe	Luy?n C?ng	Bang H?i
12	0	Tai ti?ng c?a nh角 thanh	T那n NPC ?? T?ng T? Bi Tam Kinh l角 g足 ?	Van Du T?ng Nhan	B? ??u H足nh B?	Nha D?ch
