key	value
KD_STR_SYSTEM	系统
KD_STR_ANNOUNCE	公告
KD_STR_TRAINING_APPLYINGTEACHER	你好，我想拜你为师，可以吗？[提示：您可以按H打开师徒面板，勾掉\"我要拜师\"，将不再收到此密聊信息]
KD_STR_TRAINING_APPLYINGSTUDENT	你好，有兴趣做我的徒弟吗？我可以带着你一起成长。[提示：您可以按H打开师徒面板，勾掉\"我要拜师\"，将不再收到此密聊信息]
KD_STR_TRAINING_REFUSEAPPLYINGTEACHER	%s拒绝成为你的师父，你们可以再聊聊或者通过师徒面板寻找其他合适的师父
KD_STR_TRAINING_REFUSEAPPLYINGSTUDENT	%s拒绝成为你的徒弟，你们可以再聊聊或者通过师徒面板寻找其他合适的徒弟
KD_STR_TRAINING_BREAK_CAPTION	师徒关系解除通知
KD_STR_TRAINING_BREAK_TEACHERMAIL	由于您的弟子%s超过%d天没有报道，已经你解除了师徒关系。您可以与%s联系确认原因，重新建立师徒关系。
KD_STR_TRAINING_BREAK_STUDENTMAIL	由于您超过%d天没有报道，已经和%s解除了师徒关系。您可以重新找一个师父或者与%s重新建立师徒关系。
KD_STR_TRAINING_STUDENTONLINEHINT	你现在已经可以拜师了，有一个师傅会让你的江湖阅历更加丰富，成长更快，你可以打开师徒面板查询拜师相关的内容。
KD_STR_TRAINING_TEACHERONLINEHINT	你现在已经可以招收弟子了，你可以打开师徒面板查询关于招收弟子的内容。
KD_STR_TRAINING_STUDENTONLINEMAIL	<pic=\\image\\ui\\001a\\mail\\training.spr><goto=0,0>   您现在已经可以拜师了。一位好师父可以帮助您升级，为您解惑，给您提供各种帮助,甚至帮您获得大量升级所需经验。您只能拜一位玩家为师，千万要慎重选择师父。详细信息请阅读<link=openwnd:帮助锦囊,UI_HELPSPRITE>内的相关内容
KD_STR_TRAINING_TEACHERONLINEMAIL	<pic=\\image\\ui\\001a\\mail\\training.spr><goto=0,0>   收徒传道，名利双收！您现在已经可以开始招收徒弟了，招收的弟子会成为您的密友，您可以得到数不尽的好处。小小付出，终生回报。点击查看详细内容<link=openwnd:师徒界面,UI_TEACHER>
KD_STR_TRAINING_CREATERELATION	现在你和%s成为师徒了！
KD_STR_TRAINING_MAILHEAD_STUDENTHINT	最快升级方法
KD_STR_TRAINING_MAILHEAD_TEACHERHINT	收徒提示
KD_STR_TRAINING_BUDDY1	你已经成为了%s的密友
KD_STR_TRAINING_BUDDY2	%s已经成为了你的密友
KD_STR_TRAINING_GRADUATE_TOSTUDENT	恭喜，你出师了!
KD_STR_TRAINING_GRADUATE_TOTEACHER	你的弟子%s出师了!
KD_STR_NO_MAILCOST	邮资不够，发送失败。
KD_STR_NOTSYNCEND	数据还未加载完，暂时不能进行添加好友操作，请稍后再加好友。
KD_STR_INTRODUCED	[%s]已经成为你的被介绍人
KD_STR_INTRODUCER	[%s]已经成为你的介绍人
KD_STR_INTRODUCER_MAXNUMBER	您的密友人数达到上限，不能再添加成为介绍人了。
KD_STR_INTRODUCED_MAXNUMBER	[%s]的密友人数达到上限了，不能再接受您了。
KD_STR_BLACKLIST_UPTO_MAX	您的黑名单人数达到上限了，不能再添加。
KD_STR_FRIEND_UPTO_MAX	您或对方的好友名单达到上限了，你们可以使用IB，来扩充上限，或把原有好友删除，再添加新好友。
KD_STR_COUPLE_UPTO_MAX	请注意，你已经有配偶了，重婚可是有罪滴。
KD_STR_BUDDY	你和[%s]成为密友。
KD_STR_MAKEFRIEND	你和[%s]成为好友了。
KD_STR_BLACKLIST	你把[%s]添加到了黑名单。
KD_STR_ENEMEY	你把[%s]添加为仇人了。 
KD_STR_FIRENDALREADY	你和[%s]已经是好友了。
KD_STR_ADDFREINED_FALSE	添加[%s]为好友失败，对方可能不存在。
KD_STR_HAVERELATION	添加失败，您与[%s]已经有关系了，请把现有的关系删除，再添加。
KD_STR_PLAYERISNOTONLINE	添加失败，对方可能不在线。
KD_STR_MAKEFRIEND_FALSE	添加失败，该玩家不存在或不符合与你成为好友的条件。
KD_STR_UPTO_MAXCOUNT	你的人际关系容纳人数已达上限。
KD_STR_MAKE_BIDRELATION	你和 %s 成为正式好友，可以通过组队打怪来提高亲密度了。
KD_STR_JBEXCHANGE_BILLOVERTIME	<color=green>您在金币交易所挂的单超过一周没有交易成功，系统已经自动退单，锁定的金币或剑侠币已经解除冻结。<color>
KD_STR_JBEXCHANGE_BILLOVERTIME_TITLE	金币交易退单通知
KD_STR_JBEXCHANGE_TRADE_ADDBILLFAIL	您的挂单失败，给您带来麻烦深表歉意。
KD_STR_JBEXCHANGE_ADDCASHTOACCOUNT	挂单失败，银两或金币返还到您的帐户了，对带给您的不便深表歉意。
KD_STR_JBEXCHANGE_LOGTRADE_GIVE	以%d剑侠币的单价成交卖出%d数量的金币
KD_STR_JBEXCHANGE_LOGTRADE_GAIN	以%d剑侠币的单价成交买入%d数量的金币
KD_STR_JBEXCHANGE_LOGADDBILL_GIVE	以%d剑侠币的单价挂单卖%d数量的金币，挂单成功
KD_STR_JBEXCHANGE_LOGADDBILL_GAIN	以%d剑侠币的单价挂单买%d数量的金币
KD_STR_JBEXCHANGE_APPLY_SELLBILL	申请以%d剑侠币的单价挂单卖出%d数量的金币
KD_STR_JBEXCHANGE_CANCEL_BILL_BUY	以%u剑侠币的单价挂单买金币，剩余%u数量未交易的单被撤销
KD_STR_JBEXCHANGE_CANCEL_BILL_SELL	申请撤销，以%u剑侠币的单价挂单卖出金币，剩余%u数量未交易的单
