key	value
KD_STR_SYSTEM	系統
KD_STR_ANNOUNCE	公告
KD_STR_TRAINING_APPLYINGTEACHER	你好，我想拜你為師，可以嗎？[提示：您可以按H打開師徒面板，勾掉\"我要拜師\"，將不再收到此密聊信息]
KD_STR_TRAINING_APPLYINGSTUDENT	你好，有興趣做我的徒弟嗎？我可以帶著你一起成長。[提示：您可以按H打開師徒面板，勾掉\"我要拜師\"，將不再收到此密聊信息]
KD_STR_TRAINING_REFUSEAPPLYINGTEACHER	%s拒絕成為你的師父，你們可以再聊聊或者通過師徒面板尋找其他合適的師父
KD_STR_TRAINING_REFUSEAPPLYINGSTUDENT	%s拒絕成為你的徒弟，你們可以再聊聊或者通過師徒面板尋找其他合適的徒弟
KD_STR_TRAINING_BREAK_CAPTION	師徒關系解除通知
KD_STR_TRAINING_BREAK_TEACHERMAIL	由於您的弟子%s超過%d天沒有報道，已經你解除了師徒關系。您可以與%s聯系確認原因，重新建立師徒關系。
KD_STR_TRAINING_BREAK_STUDENTMAIL	由於您超過%d天沒有報道，已經和%s解除了師徒關系。您可以重新找一個師父或者與%s重新建立師徒關系。
KD_STR_TRAINING_STUDENTONLINEHINT	你現在已經可以拜師了，有一個師傅會讓你的江湖閱曆更加豐富，成長更快，你可以打開師徒面板查詢拜師相關的內容。
KD_STR_TRAINING_TEACHERONLINEHINT	你現在已經可以招收弟子了，你可以打開師徒面板查詢關於招收弟子的內容。
KD_STR_TRAINING_STUDENTONLINEMAIL	<pic=\\image\\ui\\001a\\mail\\training.spr><goto=0,0>   您現在已經可以拜師了。一位好師父可以幫助您升級，為您解惑，給您提供各種幫助,甚至幫您獲得大量升級所需經驗。您只能拜一位玩家為師，千萬要慎重選擇師父。詳細信息請閱讀<link=openwnd:幫助錦囊,UI_HELPSPRITE>內的相關內容
KD_STR_TRAINING_TEACHERONLINEMAIL	<pic=\\image\\ui\\001a\\mail\\training.spr><goto=0,0>   收徒傳道，名利雙收！您現在已經可以開始招收徒弟了，招收的弟子會成為您的密友，您可以得到數不盡的好處。小小付出，終生回報。點擊查看詳細內容<link=openwnd:師徒界面,UI_TEACHER>
KD_STR_TRAINING_CREATERELATION	現在你和%s成為師徒了！
KD_STR_TRAINING_MAILHEAD_STUDENTHINT	最快升級方法
KD_STR_TRAINING_MAILHEAD_TEACHERHINT	收徒提示
KD_STR_TRAINING_BUDDY1	你已經成為了%s的密友
KD_STR_TRAINING_BUDDY2	%s已經成為了你的密友
KD_STR_TRAINING_GRADUATE_TOSTUDENT	恭喜，你出師了!
KD_STR_TRAINING_GRADUATE_TOTEACHER	你的弟子%s出師了!
KD_STR_NO_MAILCOST	郵資不夠，發送失敗。
KD_STR_NOTSYNCEND	數據還未加載完，暫時不能進行添加好友操作，請稍後再加好友。
KD_STR_INTRODUCED	[%s]已經成為你的被介紹人
KD_STR_INTRODUCER	[%s]已經成為你的介紹人
KD_STR_INTRODUCER_MAXNUMBER	您的密友人數達到上限，不能再添加成為介紹人了。
KD_STR_INTRODUCED_MAXNUMBER	[%s]的密友人數達到上限了，不能再接受您了。
KD_STR_BLACKLIST_UPTO_MAX	您的黑名單人數達到上限了，不能再添加。
KD_STR_FRIEND_UPTO_MAX	您或對方的好友名單達到上限了，你們可以使用IB，來擴充上限，或把原有好友刪除，再添加新好友。
KD_STR_COUPLE_UPTO_MAX	請注意，你已經有配偶了，重婚可是有罪滴。
KD_STR_BUDDY	你和[%s]成為密友。
KD_STR_MAKEFRIEND	你和[%s]成為好友了。
KD_STR_BLACKLIST	你把[%s]添加到了黑名單。
KD_STR_ENEMEY	你把[%s]添加為仇人了。 
KD_STR_FIRENDALREADY	你和[%s]已經是好友了。
KD_STR_ADDFREINED_FALSE	添加[%s]為好友失敗，對方可能不存在。
KD_STR_HAVERELATION	添加失敗，您與[%s]已經有關系了，請把現有的關系刪除，再添加。
KD_STR_PLAYERISNOTONLINE	添加失敗，對方可能不在線。
KD_STR_MAKEFRIEND_FALSE	添加失敗，該玩家不存在或不符合與你成為好友的條件。
KD_STR_UPTO_MAXCOUNT	你的人際關系容納人數已達上限。
KD_STR_MAKE_BIDRELATION	你和 %s 成為正式好友，可以通過組隊打怪來提高親密度了。
KD_STR_JBEXCHANGE_BILLOVERTIME	<color=green>您在金幣交易所掛的單超過一周沒有交易成功，系統已經自動退單，鎖定的金幣或劍俠幣已經解除凍結。<color>
KD_STR_JBEXCHANGE_BILLOVERTIME_TITLE	金幣交易退單通知
KD_STR_JBEXCHANGE_TRADE_ADDBILLFAIL	您的掛單失敗，給您帶來麻煩深表歉意。
KD_STR_JBEXCHANGE_ADDCASHTOACCOUNT	掛單失敗，銀兩或金幣返還到您的帳戶了，對帶給您的不便深表歉意。
KD_STR_JBEXCHANGE_LOGTRADE_GIVE	以%d劍俠幣的單價成交賣出%d數量的金幣
KD_STR_JBEXCHANGE_LOGTRADE_GAIN	以%d劍俠幣的單價成交買入%d數量的金幣
KD_STR_JBEXCHANGE_LOGADDBILL_GIVE	以%d劍俠幣的單價掛單賣%d數量的金幣，掛單成功
KD_STR_JBEXCHANGE_LOGADDBILL_GAIN	以%d劍俠幣的單價掛單買%d數量的金幣
KD_STR_JBEXCHANGE_APPLY_SELLBILL	申請以%d劍俠幣的單價掛單賣出%d數量的金幣
KD_STR_JBEXCHANGE_CANCEL_BILL_BUY	以%u劍俠幣的單價掛單買金幣，剩餘%u數量未交易的單被撤銷
KD_STR_JBEXCHANGE_CANCEL_BILL_SELL	申請撤銷，以%u劍俠幣的單價掛單賣出金幣，剩餘%u數量未交易的單
