key	value
STR_PLAYERLOG_TYPE_FACTIONSPORTS	门派竞技
STR_PLAYERLOG_TYPE_CREATEFAMILY	家族建立
STR_PLAYERLOG_TYPE_FAMILYAPPOINT	家族职位任免
STR_PLAYERLOG_TYPE_FAMILYDISMISS	家族解散
STR_PLAYERLOG_TYPE_CREATETONG	帮会建立
STR_PLAYERLOG_TYPE_TONGAPPOINT	帮会职位任免
STR_PLAYERLOG_TYPE_TONGDISMISS	帮会解散
STR_PLAYERLOG_TYPE_TONGCONTRIBUTE	捐献帮会建设基金
STR_PLAYERLOG_TYPE_TONGPAYOFF	帮会资金操作
STR_PLAYERLOG_TYPE_JBEXCHANGE	金币交易
STR_PLAYERLOG_TYPE_USEGOLDCOIN_APP	申请消耗金币
STR_PLAYERLOG_TYPE_USEGOLDCOIN_RES	消耗金币结果
STR_PLAYERLOG_TYPE_FINISHTASK	完成任务
STR_PLAYERLOG_TYPE_JOINSPORT	参加活动
STR_PLAYERLOG_TYPE_LEVELUP	玩家升级
STR_PLAYERLOG_TYPE_PLAYERTRADE	玩家交易
STR_PLAYERLOG_TYPE_STALLSELL	摆摊贩卖
STR_PLAYERLOG_TYPE_STALLBUY	摆摊收购
STR_PLAYERLOG_TYPE_LOGIN	玩家登录
STR_PLAYERLOG_TYPE_LOGOUT	玩家退出
STR_PLAYERLOG_TYPE_MAILATTACH	邮件附件
STR_PLAYERLOG_TYPE_GETFRIENDCOINBACK	密友绑定金币返还
STR_PLAYERLOG_TYPE_AUCTION	拍卖行
STR_PLAYERLOG_TYPE_PROMTION	促销活动消费金币获得绑定金币
STR_PLAYERLOG_TYPE_COINBANK	钱庄操作
STR_PLAYERLOG_TYPE_COINSTATE	金币行为
STR_PLAYERLOG_TYPE_BINDCOIN	绑定金币
STR_PLAYERLOG_TYPE_RELATION	人际关系
STR_PLAYERLOG_TYPE_COMPENSATE	补偿相关
STR_PLAYERLOG_TYPE_GM_OPERATION	GM操作
STR_PLAYERLOG_TYPE_MOONSTONE	月影之石兑换
STR_PLAYERLOG_TYPE_ANTIBOT_SCORE	反外挂分值
STR_PLAYERLOG_TYPE_ANTIBOT_PROCESS	反外挂处理
STR_ITEMLOG_TYPE_USE	道具使用
STR_ITEMLOG_TYPE_ADDITEM	获取物品
