key	value
STR_PLAYERLOG_TYPE_FACTIONSPORTS	門派競技
STR_PLAYERLOG_TYPE_CREATEFAMILY	家族建立
STR_PLAYERLOG_TYPE_FAMILYAPPOINT	家族職位任免
STR_PLAYERLOG_TYPE_FAMILYDISMISS	家族解散
STR_PLAYERLOG_TYPE_CREATETONG	幫會建立
STR_PLAYERLOG_TYPE_TONGAPPOINT	幫會職位任免
STR_PLAYERLOG_TYPE_TONGDISMISS	幫會解散
STR_PLAYERLOG_TYPE_TONGCONTRIBUTE	捐獻幫會建設基金
STR_PLAYERLOG_TYPE_TONGPAYOFF	幫會資金操作
STR_PLAYERLOG_TYPE_JBEXCHANGE	金幣交易
STR_PLAYERLOG_TYPE_USEGOLDCOIN_APP	申請消耗金幣
STR_PLAYERLOG_TYPE_USEGOLDCOIN_RES	消耗金幣結果
STR_PLAYERLOG_TYPE_FINISHTASK	完成任務
STR_PLAYERLOG_TYPE_JOINSPORT	參加活動
STR_PLAYERLOG_TYPE_LEVELUP	玩家升級
STR_PLAYERLOG_TYPE_PLAYERTRADE	玩家交易
STR_PLAYERLOG_TYPE_STALLSELL	擺攤販賣
STR_PLAYERLOG_TYPE_STALLBUY	擺攤收購
STR_PLAYERLOG_TYPE_LOGIN	玩家登錄
STR_PLAYERLOG_TYPE_LOGOUT	玩家退出
STR_PLAYERLOG_TYPE_MAILATTACH	郵件附件
STR_PLAYERLOG_TYPE_GETFRIENDCOINBACK	密友綁定金幣返還
STR_PLAYERLOG_TYPE_AUCTION	拍賣行
STR_PLAYERLOG_TYPE_PROMTION	促銷活動消費金幣獲得綁定金幣
STR_PLAYERLOG_TYPE_COINBANK	錢莊操作
STR_PLAYERLOG_TYPE_COINSTATE	金幣行為
STR_PLAYERLOG_TYPE_BINDCOIN	綁定金幣
STR_PLAYERLOG_TYPE_RELATION	人際關系
STR_PLAYERLOG_TYPE_COMPENSATE	補償相關
STR_PLAYERLOG_TYPE_GM_OPERATION	GM操作
STR_PLAYERLOG_TYPE_MOONSTONE	月影之石兌換
STR_PLAYERLOG_TYPE_ANTIBOT_SCORE	反外掛分值
STR_PLAYERLOG_TYPE_ANTIBOT_PROCESS	反外掛處理
STR_ITEMLOG_TYPE_USE	道具使用
STR_ITEMLOG_TYPE_ADDITEM	獲取物品
STR_ITEMLOG_TYPE_REMOVEITEM	失去物品
STR_PLAYERLOG_TYPE_ORDER_APPLY	提交訂單
STR_PLAYERLOG_TYPE_ORDER_DEL	刪除訂單
STR_PLAYERLOG_TYPE_ORDER_PAY	訂單付費
STR_PLAYERLOG_TYPE_ORDER_COMPLETE	完成訂單
STR_TONGLOG_TONGSTRUCTURE	幫會結構
STR_TONGLOG_TONGBUILDFUND	幫會建設資金
STR_TONGLOG_TONGFUND	幫會資金
STR_KINLOG_KINSTRUCTURE	家族結構
KD_STR_TONGFUND_PAY	%s分發幫會資金%d 給%s（職位名）
STR_TONG_DIRECTOR	長老
STR_TONG_ENVOY	掌令使
STR_TONG_EXCELLENT	精英
STR_TONG_NORMAL	幫眾
STR_TONG_SIGNED	記名成員
STR_PLAYERLOG_COMMENT_USEGOLDCOIN_APPLY	申請購買%s，數量：%d，單價：%d個金幣，%d個存款金幣
